name,link,type
premaritalwomen.png,https://www.samitivejhospitals.com/th/program/detail/pre-marital-check-up-for-women?package=248,screening
herpes.png,https://www.samitivejhospitals.com/th/package/detail/shingles-vaccine,care
PM25.png,https://www.samitivejhospitals.com/th/package/detail/pm-2-5-screening-svh,screening
gift.png,https://www.samitivejhospitals.com/th/package/detail/gift-of-health,voucher
dengue4.png,https://www.samitivejhospitals.com/th/package/detail/dengue-vaccine,care
skin.png,https://www.samitivejhospitals.com/th/package/detail/Skin-booster-program,care
colonoscope2.png,https://www.samitivejhospitals.com/th/package/detail/colonoscopy-snh,screening and diagnosis
heartathlete.png,https://www.samitivejhospitals.com/th/package/detail/triathlon-screening,screening
breast.png,https://www.samitivejhospitals.com/th/package/detail/vacuum-assisted-breast-biopsy,diagnosis
antiskin.png,https://www.samitivejhospitals.com/th/package/detail/miami-peel,care
soccer.png,https://www.samitivejhospitals.com/th/package/detail/fit-to-play-football,screening
soccer1518.png,https://www.samitivejhospitals.com/th/program/detail/fit-to-play-football-age-15-18?package=230,screening
soccer1835.png,https://www.samitivejhospitals.com/th/program/detail/fit-to-play-football-age-18-35?package=230,screening
soccerover35.png,https://www.samitivejhospitals.com/th/program/detail/fit-to-play-football-age-0ver-35?package=230,screening
soccerpro.png,https://www.samitivejhospitals.com/th/program/detail/fit-to-play-football-professional?package=230,screening
laserhemorrhoid.png,https://www.samitivejhospitals.com/th/package/detail/Laser-Hemorrhoidectomy,care
prematurebone.png,https://www.samitivejhospitals.com/th/package/detail/bone-age-x-ray-screening,screening
mobilesenior.png,https://www.samitivejhospitals.com/th/package/detail/smart-mobility-for-senior,care
skininfusion.png,https://www.samitivejhospitals.com/th/package/detail/vital-infusion,care
hyperbaric.png,https://www.samitivejhospitals.com/th/package/detail/Hyperbaric-Oxygen-Therapy,care
labor.png,https://www.samitivejhospitals.com/th/package/detail/%E0%B9%82%E0%B8%9B%E0%B8%A3%E0%B9%81%E0%B8%81%E0%B8%A3%E0%B8%A1%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%94-svh,care
laborsurg.png,https://www.samitivejhospitals.com/th/program/detail/platinum-birth-package-c-section-birth?package=21,care
labornatural.png,https://www.samitivejhospitals.com/th/program/detail/platinum-birth-package-natural-birth?package=21,care
lungkid.png,https://www.samitivejhospitals.com/th/package/detail/pulmonary-function-screening-for-children,screening
glaucoma.png,https://www.samitivejhospitals.com/th/package/detail/glaucoma-screening-package,screening
glaucomafull.png,https://www.samitivejhospitals.com/th/program/detail/full-glaucoma-workup?package=210,screening
fluover65.png,https://www.samitivejhospitals.com/th/package/detail/EFLUELDA,care
athleterehab.png,https://www.samitivejhospitals.com/package/detail/athletes-physical-assessment-rehabilitation-programs-bangkok-thailand-snh,care
weight.png,https://www.samitivejhospitals.com/package/detail/SVH-Life-Fit-Program,screening and care
athleterehab2.png,https://www.samitivejhospitals.com/package/detail/athletes-physical-assessment-rehabilitation-programs-bangkok-thailand-svh,care
kidmonitor.png,https://www.samitivejhospitals.com/package/detail/healthy-kid-programs,care
kidmonitor1.png,https://www.samitivejhospitals.com/program/detail/healthy-kid-active-program-health-checkup-for-under-15-years-p?package=187,care
kidmonitor2.png,https://www.samitivejhospitals.com/program/detail/healthy-kid-advanced-program-health-checkup-for-6-15-years-p?package=187,care
vitalinfusion.png,https://www.samitivejhospitals.com/package/detail/vital-infusion,care
golfer.png,https://www.samitivejhospitals.com/package/detail/health-screening-programs-for-golfers,screening
golfer1.png,https://www.samitivejhospitals.com/program/detail/happy-life-program-TPI-screening,screening
golfer2.png,https://www.samitivejhospitals.com/program/detail/eye-screening-TPI,screening
golfer3.png,https://www.samitivejhospitals.com/program/detail/happy-life-program-TPI-Eye-screening,screening
adjustballoon.png,https://www.samitivejhospitals.com/package/detail/adjustable-gastric-balloon,care
seniorcare.png,https://www.samitivejhospitals.com/package/detail/care-plus-svh,care
dementiapredict.png,https://www.samitivejhospitals.com/package/detail/dementia-prediction-program,screening
dementiapredict1.png,https://www.samitivejhospitals.com/program/detail/dementia-prediction-program-detail?package=208,screening
kidflu.png,https://www.samitivejhospitals.com/package/detail/flu-vaccine-children-bangkok,vaccine
hyperbaric.png,https://www.samitivejhospitals.com/package/detail/Hyperbaric-Oxygen-Therapy,care
precoc.png,https://www.samitivejhospitals.com/package/detail/bone-age-x-ray-screening,screening
riskaspire.png,https://www.samitivejhospitals.com/package/detail/Swallowing-Disorder-Detection-Packages,screening
visionc.png,https://www.samitivejhospitals.com/package/detail/Vision-Care,screening and care
PM25impact.png,https://www.samitivejhospitals.com/package/detail/pm-2-5-screening-svh,screening and care
miamipeel.png,https://www.samitivejhospitals.com/package/detail/miami-peel,care
travel.png,https://www.samitivejhospitals.com/package/detail/health-check-up-ready-to-travel,screening
DIYimmune.png,https://www.samitivejhospitals.com/package/detail/immune-system-screening,screening
heartathlete.png,https://www.samitivejhospitals.com/package/detail/triathlon-screening,screening
